Year,Area_Type,State_UT,Crime_Category,Crime_Subcategory,Victim_Gender,Victim_Age_Group,Cases_Reported,Cases_Solved,Cases_Pending,Cases_Investigated,Cases_Not_Investigated
2003,Rural,Goa,Crime Against Women,Rape,Female,31-45,438,374,64,417,21
2001,Urban,Punjab,Property Crime,Theft,Male,46-60,3082,1182,1900,2880,202
2003,Urban,Telangana,Crime Against Women,Dowry Deaths,Female,46-60,5634,1252,4382,4920,714
2001,Rural,Jammu & Kashmir,Crime Against Children,Kidnapping,Female,18-30,2600,835,1765,2361,239
2003,Urban,Delhi,Crime Against Children,Kidnapping,Male,46-60,2806,1619,1187,2655,151
2007,Urban,Odisha,Crime Against Women,Domestic Violence,Female,60+,7553,6374,1179,7526,27
2005,Rural,Kerala,Other Crimes,Fraud,Female,46-60,559,464,95,478,81
2006,Urban,Uttarakhand,Property Crime,Theft,Female,60+,7814,4697,3117,5929,1885
2003,Rural,Tamil Nadu,Property Crime,Burglary,Female,31-45,9660,9634,26,9659,1
2003,Rural,Andhra Pradesh,Other Crimes,Corruption,Female,13-17,3947,2052,1895,2258,1689
2006,Urban,Sikkim,Crime Against Children,Kidnapping,Male,18-30,79,13,66,65,14
2009,Urban,West Bengal,Other Crimes,Corruption,Male,18-30,8901,5057,3844,7367,1534
2003,Urban,Kerala,Crime Against Men,Assault,Female,60+,4335,688,3647,4312,23
2009,Urban,Maharashtra,Crime Against Men,Extortion,Male,0-12,6754,5973,781,6248,506
2002,Urban,Andhra Pradesh,Crime Against Children,Kidnapping,Female,31-45,3403,2051,1352,2935,468
2006,Urban,Meghalaya,Other Crimes,Fraud,Male,60+,5299,4703,596,4971,328
2006,Rural,Uttarakhand,Other Crimes,Cyber Crime,Male,18-30,8585,8266,319,8298,287
2010,Urban,Maharashtra,Property Crime,Vandalism,Female,46-60,415,320,95,409,6
2001,Rural,Kerala,Crime Against Men,Robbery,Male,60+,1216,730,486,1202,14
2007,Rural,Goa,Crime Against Men,Extortion,Female,13-17,8886,813,8073,6553,2333
2010,Rural,Uttarakhand,Crime Against Children,Trafficking,Male,18-30,7522,1203,6319,7490,32
2010,Urban,West Bengal,Crime Against Children,Trafficking,Male,31-45,7969,1719,6250,4582,3387
2002,Urban,Nagaland,Property Crime,Vandalism,Male,31-45,2687,806,1881,932,1755
2009,Rural,Mizoram,Property Crime,Burglary,Male,0-12,3602,479,3123,1247,2355
2003,Urban,Odisha,Other Crimes,Fraud,Female,0-12,8570,3428,5142,4688,3882
2010,Rural,West Bengal,Crime Against Children,Child Abuse,Male,46-60,3825,427,3398,1598,2227
2004,Urban,Andhra Pradesh,Crime Against Women,Molestation,Female,46-60,6897,4929,1968,6559,338
2007,Rural,Punjab,Property Crime,Burglary,Female,60+,3162,2826,336,2902,260
2008,Urban,Uttarakhand,Crime Against Men,Assault,Female,46-60,4510,446,4064,1234,3276
2010,Rural,Jharkhand,Property Crime,Arson,Male,60+,1037,994,43,1004,33
2001,Rural,Andhra Pradesh,Other Crimes,Cyber Crime,Female,46-60,3415,1094,2321,2235,1180
2003,Rural,Rajasthan,Other Crimes,Corruption,Female,18-30,3763,548,3215,3505,258
2010,Rural,Goa,Property Crime,Vandalism,Male,60+,4482,276,4206,1240,3242
2005,Urban,Meghalaya,Other Crimes,Fraud,Female,31-45,5627,4622,1005,5190,437
2006,Rural,Maharashtra,Property Crime,Arson,Male,18-30,1627,995,632,1023,604
2006,Urban,Bihar,Property Crime,Burglary,Male,46-60,87,42,45,51,36
2001,Rural,Haryana,Crime Against Men,Robbery,Male,13-17,3795,2493,1302,2908,887
2005,Rural,Meghalaya,Crime Against Men,Robbery,Female,60+,3644,516,3128,3123,521
2004,Rural,Tamil Nadu,Property Crime,Burglary,Female,13-17,9136,1041,8095,2286,6850
2006,Rural,Arunachal Pradesh,Crime Against Children,Child Abuse,Female,13-17,4617,69,4548,3773,844
2010,Urban,Uttarakhand,Property Crime,Arson,Female,46-60,9309,5406,3903,5633,3676
2008,Urban,Tamil Nadu,Other Crimes,Corruption,Male,0-12,9622,6243,3379,7425,2197
2002,Urban,Goa,Crime Against Men,Extortion,Male,13-17,2250,2134,116,2247,3
2008,Rural,Chhattisgarh,Crime Against Children,Trafficking,Female,13-17,4891,1272,3619,1400,3491
2006,Rural,Telangana,Property Crime,Burglary,Female,0-12,397,5,392,320,77
2003,Urban,Rajasthan,Crime Against Men,Assault,Male,31-45,267,181,86,222,45
2004,Urban,Arunachal Pradesh,Crime Against Children,Child Labor,Female,0-12,916,657,259,698,218
2005,Rural,Himachal Pradesh,Crime Against Women,Dowry Deaths,Female,18-30,8626,5188,3438,6424,2202
2008,Urban,Nagaland,Crime Against Men,Extortion,Female,18-30,7324,5969,1355,6498,826
2007,Rural,Telangana,Property Crime,Burglary,Female,46-60,1031,805,226,934,97
2004,Rural,Bihar,Other Crimes,Drug Offense,Male,13-17,7432,6683,749,7303,129
2010,Rural,Jharkhand,Crime Against Men,Assault,Female,18-30,1830,1604,226,1717,113
2002,Rural,Punjab,Other Crimes,Fraud,Female,60+,7023,4737,2286,5224,1799
2010,Urban,Meghalaya,Crime Against Women,Rape,Male,46-60,5179,1091,4088,4560,619
2008,Urban,Jharkhand,Other Crimes,Cyber Crime,Male,31-45,6976,3099,3877,4386,2590
2003,Urban,Sikkim,Other Crimes,Corruption,Female,31-45,5226,2720,2506,4448,778
2006,Urban,Chhattisgarh,Property Crime,Burglary,Female,46-60,4727,2098,2629,2968,1759
2003,Rural,Arunachal Pradesh,Property Crime,Vandalism,Female,0-12,215,166,49,180,35
2004,Rural,Chhattisgarh,Other Crimes,Corruption,Male,46-60,485,324,161,354,131
2004,Rural,Uttar Pradesh,Crime Against Women,Rape,Male,13-17,8251,3799,4452,4316,3935
2006,Urban,Karnataka,Property Crime,Vandalism,Male,31-45,3476,1794,1682,2004,1472
2002,Urban,Maharashtra,Crime Against Women,Rape,Female,13-17,8752,6628,2124,7505,1247
2004,Urban,Nagaland,Crime Against Women,Dowry Deaths,Male,46-60,7392,4685,2707,6199,1193
2004,Urban,Kerala,Property Crime,Vandalism,Female,0-12,2932,2412,520,2665,267
2008,Urban,Himachal Pradesh,Other Crimes,Fraud,Male,31-45,2481,2267,214,2372,109
2008,Urban,Sikkim,Crime Against Women,Dowry Deaths,Male,60+,2591,655,1936,1204,1387
2004,Urban,Nagaland,Crime Against Men,Extortion,Female,18-30,3789,1339,2450,3098,691
2009,Urban,Nagaland,Crime Against Women,Dowry Deaths,Female,18-30,8113,2001,6112,3192,4921
2010,Urban,Chhattisgarh,Crime Against Men,Robbery,Female,31-45,2680,1379,1301,1847,833
2002,Rural,Maharashtra,Crime Against Children,Kidnapping,Female,60+,3836,3581,255,3624,212
2001,Urban,Bihar,Property Crime,Burglary,Female,18-30,4968,1141,3827,4958,10
2006,Rural,West Bengal,Other Crimes,Fraud,Male,46-60,3996,344,3652,2909,1087
2010,Rural,Meghalaya,Property Crime,Burglary,Female,46-60,4348,2172,2176,4091,257
2009,Urban,West Bengal,Crime Against Women,Domestic Violence,Male,31-45,7120,157,6963,5163,1957
2007,Urban,Assam,Other Crimes,Corruption,Female,18-30,3903,2694,1209,3233,670
2008,Rural,Maharashtra,Crime Against Men,Extortion,Female,13-17,3463,347,3116,503,2960
2007,Rural,Goa,Other Crimes,Fraud,Female,60+,9981,7240,2741,9929,52
2009,Urban,Himachal Pradesh,Property Crime,Burglary,Male,18-30,9884,2368,7516,8025,1859
2005,Urban,Tripura,Crime Against Children,Child Labor,Female,46-60,4119,3954,165,4106,13
2007,Rural,Telangana,Property Crime,Theft,Male,18-30,8028,655,7373,7731,297
2005,Urban,Meghalaya,Crime Against Women,Domestic Violence,Female,13-17,2036,1973,63,2023,13
2008,Urban,Bihar,Crime Against Men,Robbery,Male,60+,5131,3669,1462,3859,1272
2007,Rural,Himachal Pradesh,Other Crimes,Cyber Crime,Female,31-45,3369,3199,170,3207,162
2006,Rural,Tamil Nadu,Crime Against Women,Rape,Female,60+,4481,102,4379,3193,1288
2010,Urban,West Bengal,Crime Against Children,Trafficking,Female,31-45,7982,1613,6369,6221,1761
2008,Urban,Rajasthan,Other Crimes,Fraud,Female,18-30,4987,141,4846,4599,388
2009,Urban,Haryana,Other Crimes,Cyber Crime,Female,60+,4961,4918,43,4960,1
2008,Rural,Andhra Pradesh,Other Crimes,Drug Offense,Female,31-45,4404,128,4276,3442,962
2001,Urban,West Bengal,Crime Against Children,Trafficking,Male,18-30,9413,4447,4966,5976,3437
2009,Rural,Maharashtra,Crime Against Children,Trafficking,Male,0-12,1537,897,640,913,624
2010,Urban,Sikkim,Crime Against Men,Assault,Female,60+,8819,684,8135,1205,7614
2010,Urban,Uttar Pradesh,Property Crime,Theft,Female,0-12,6180,3551,2629,4823,1357
2004,Rural,Jharkhand,Other Crimes,Corruption,Male,46-60,6354,303,6051,1867,4487
2005,Urban,Chhattisgarh,Other Crimes,Cyber Crime,Male,60+,8941,2091,6850,2242,6699
2010,Urban,Manipur,Other Crimes,Cyber Crime,Female,18-30,9042,4902,4140,8568,474
2005,Rural,Arunachal Pradesh,Property Crime,Vandalism,Female,60+,9405,7012,2393,8776,629
2003,Urban,Uttar Pradesh,Property Crime,Theft,Female,0-12,235,45,190,161,74
2001,Rural,Telangana,Crime Against Children,Child Abuse,Female,13-17,2909,249,2660,1056,1853
2001,Urban,Andhra Pradesh,Crime Against Women,Rape,Female,0-12,4287,2513,1774,4012,275
2004,Urban,Sikkim,Crime Against Children,Child Abuse,Male,13-17,291,175,116,239,52
2001,Urban,Andhra Pradesh,Crime Against Men,Murder,Female,46-60,3972,582,3390,1658,2314
2004,Urban,Arunachal Pradesh,Crime Against Men,Murder,Female,18-30,6327,2625,3702,4690,1637
2006,Rural,Gujarat,Crime Against Men,Assault,Female,0-12,228,27,201,71,157
2002,Rural,Goa,Crime Against Children,Child Abuse,Male,13-17,3700,3401,299,3430,270
2010,Rural,Kerala,Property Crime,Burglary,Female,46-60,8184,71,8113,6988,1196
2007,Urban,Uttarakhand,Crime Against Men,Assault,Male,0-12,456,376,80,416,40
2001,Rural,Odisha,Crime Against Children,Child Abuse,Female,46-60,4307,3441,866,4099,208
2010,Rural,Goa,Crime Against Men,Murder,Male,0-12,9932,604,9328,7173,2759
2006,Urban,Chhattisgarh,Crime Against Men,Assault,Male,13-17,3432,1874,1558,2388,1044
2005,Rural,Jharkhand,Crime Against Children,Child Abuse,Female,18-30,1131,438,693,706,425
2003,Urban,Tripura,Crime Against Women,Rape,Female,31-45,186,54,132,118,68
2009,Rural,Kerala,Other Crimes,Fraud,Female,0-12,9963,1507,8456,2348,7615
2006,Rural,Meghalaya,Crime Against Men,Assault,Female,31-45,7371,5873,1498,7288,83
2008,Urban,Himachal Pradesh,Crime Against Women,Dowry Deaths,Male,18-30,3194,2846,348,3096,98
2008,Urban,Assam,Crime Against Children,Trafficking,Male,0-12,71,28,43,62,9
2003,Rural,Odisha,Crime Against Children,Kidnapping,Female,46-60,4184,2876,1308,3842,342
2010,Rural,Jammu & Kashmir,Property Crime,Arson,Female,0-12,3777,1802,1975,2199,1578
2005,Urban,Meghalaya,Other Crimes,Corruption,Male,0-12,1921,780,1141,1029,892
2005,Urban,Rajasthan,Crime Against Children,Child Abuse,Female,13-17,1372,875,497,1143,229
2010,Urban,Gujarat,Property Crime,Burglary,Female,0-12,2306,1563,743,1645,661
2005,Urban,Madhya Pradesh,Crime Against Children,Child Labor,Female,18-30,7441,2057,5384,3200,4241
2010,Rural,Manipur,Crime Against Children,Child Abuse,Female,0-12,8972,1554,7418,6596,2376
2010,Urban,Mizoram,Crime Against Men,Extortion,Male,31-45,8235,1392,6843,3721,4514
2001,Rural,Bihar,Crime Against Children,Child Abuse,Male,13-17,8640,5696,2944,5785,2855
2001,Urban,Goa,Crime Against Men,Extortion,Female,60+,2900,1303,1597,2702,198
2001,Urban,Uttar Pradesh,Crime Against Men,Extortion,Male,31-45,7654,1791,5863,1906,5748
2005,Rural,Delhi,Other Crimes,Corruption,Female,13-17,4058,1219,2839,3149,909
2010,Rural,Chhattisgarh,Crime Against Children,Child Labor,Female,60+,7121,6430,691,6573,548
2009,Rural,Arunachal Pradesh,Property Crime,Theft,Male,13-17,7305,2131,5174,5210,2095
2003,Urban,Goa,Crime Against Men,Robbery,Female,0-12,2754,2205,549,2365,389
2002,Urban,Goa,Other Crimes,Cyber Crime,Female,31-45,7036,3125,3911,5732,1304
2001,Urban,Meghalaya,Other Crimes,Corruption,Male,31-45,4702,76,4626,1953,2749
2007,Rural,Telangana,Other Crimes,Drug Offense,Female,60+,8472,37,8435,156,8316
2005,Rural,Mizoram,Crime Against Children,Kidnapping,Female,31-45,7228,6754,474,7171,57
2005,Rural,Odisha,Crime Against Men,Extortion,Female,31-45,4059,2135,1924,3567,492
2004,Urban,Delhi,Other Crimes,Cyber Crime,Female,60+,6463,5314,1149,5371,1092
2004,Urban,Haryana,Property Crime,Vandalism,Male,31-45,7524,453,7071,1980,5544
2009,Rural,Uttarakhand,Property Crime,Burglary,Male,31-45,7667,1664,6003,5027,2640
2005,Urban,Bihar,Property Crime,Burglary,Female,13-17,9574,9035,539,9475,99
2002,Urban,Manipur,Property Crime,Vandalism,Male,60+,9039,2855,6184,5329,3710
2007,Urban,Punjab,Other Crimes,Fraud,Male,13-17,6781,3278,3503,3697,3084
2001,Rural,Arunachal Pradesh,Crime Against Men,Extortion,Male,60+,8666,3014,5652,7715,951
2008,Urban,Himachal Pradesh,Crime Against Children,Child Labor,Female,0-12,8204,2156,6048,2976,5228
2007,Urban,Bihar,Other Crimes,Cyber Crime,Female,13-17,5726,136,5590,1163,4563
2007,Urban,Tripura,Other Crimes,Corruption,Male,31-45,6349,2139,4210,4153,2196
2003,Rural,Jharkhand,Property Crime,Arson,Female,46-60,8198,7241,957,7445,753
2007,Rural,Uttarakhand,Crime Against Men,Robbery,Female,18-30,2710,464,2246,2650,60
2003,Rural,Assam,Other Crimes,Fraud,Female,60+,542,358,184,506,36
2010,Rural,West Bengal,Other Crimes,Drug Offense,Female,0-12,1287,424,863,709,578
2005,Urban,Uttar Pradesh,Crime Against Children,Child Abuse,Female,18-30,6295,1419,4876,4479,1816
2004,Urban,Telangana,Property Crime,Vandalism,Female,13-17,5741,589,5152,1271,4470
2008,Urban,Madhya Pradesh,Other Crimes,Cyber Crime,Male,0-12,4503,362,4141,3736,767
2006,Rural,Jammu & Kashmir,Crime Against Children,Trafficking,Female,0-12,1788,959,829,1407,381
2002,Urban,Nagaland,Property Crime,Arson,Female,46-60,3006,667,2339,1996,1010
2007,Urban,Himachal Pradesh,Property Crime,Theft,Female,31-45,3654,3555,99,3571,83
2004,Urban,Punjab,Crime Against Women,Molestation,Female,18-30,1507,1505,2,1506,1
2003,Urban,Jharkhand,Property Crime,Vandalism,Female,0-12,9066,4506,4560,7346,1720
2009,Rural,Andhra Pradesh,Crime Against Women,Domestic Violence,Male,0-12,7829,3507,4322,5161,2668
2010,Rural,Tripura,Other Crimes,Fraud,Male,18-30,1397,941,456,955,442
2008,Rural,Himachal Pradesh,Property Crime,Burglary,Female,18-30,7983,5923,2060,5964,2019
2006,Rural,Gujarat,Property Crime,Theft,Male,13-17,3445,2283,1162,2519,926
2007,Urban,Bihar,Other Crimes,Fraud,Female,13-17,4498,2892,1606,3683,815
2008,Urban,Sikkim,Crime Against Men,Robbery,Female,31-45,7356,4399,2957,6533,823
2009,Urban,Chhattisgarh,Crime Against Men,Extortion,Female,0-12,8481,637,7844,7036,1445
2006,Urban,Odisha,Crime Against Men,Robbery,Female,60+,8817,1255,7562,1350,7467
2009,Rural,Manipur,Crime Against Men,Robbery,Male,13-17,8082,2296,5786,5577,2505
2009,Rural,Jharkhand,Property Crime,Burglary,Male,13-17,3046,2613,433,2879,167
2002,Urban,Assam,Crime Against Women,Molestation,Female,0-12,4484,1751,2733,3620,864
2002,Rural,Maharashtra,Crime Against Men,Extortion,Male,31-45,1754,354,1400,689,1065
2003,Rural,Jammu & Kashmir,Other Crimes,Cyber Crime,Female,31-45,4343,3943,400,4131,212
2002,Rural,Chhattisgarh,Crime Against Children,Kidnapping,Male,46-60,3233,155,3078,2115,1118
2009,Rural,Arunachal Pradesh,Property Crime,Theft,Female,13-17,1745,1031,714,1052,693
2005,Rural,Mizoram,Crime Against Children,Child Abuse,Female,31-45,8895,289,8606,5317,3578
2005,Urban,Jammu & Kashmir,Property Crime,Arson,Female,46-60,2803,2289,514,2499,304
2009,Urban,Meghalaya,Crime Against Women,Dowry Deaths,Male,13-17,3745,1036,2709,2696,1049
2007,Rural,Haryana,Crime Against Men,Robbery,Female,31-45,3569,1338,2231,3217,352
2003,Urban,Uttarakhand,Crime Against Children,Kidnapping,Female,18-30,5855,2035,3820,4963,892
2001,Rural,Chhattisgarh,Property Crime,Burglary,Female,0-12,6125,3286,2839,5879,246
2009,Rural,Uttar Pradesh,Crime Against Children,Child Labor,Female,31-45,2293,1048,1245,2196,97
2002,Urban,Haryana,Other Crimes,Fraud,Female,0-12,7173,4047,3126,4491,2682
2008,Urban,Karnataka,Property Crime,Vandalism,Female,0-12,5693,1737,3956,2512,3181
2009,Urban,Karnataka,Crime Against Women,Molestation,Male,18-30,3952,2321,1631,3024,928
2010,Rural,Karnataka,Crime Against Children,Child Labor,Male,0-12,3359,3121,238,3334,25
2003,Urban,Jharkhand,Crime Against Women,Dowry Deaths,Male,46-60,4763,1195,3568,4582,181
2002,Urban,Sikkim,Crime Against Men,Assault,Male,18-30,3353,158,3195,909,2444
2006,Urban,Manipur,Crime Against Women,Domestic Violence,Female,0-12,2836,52,2784,1102,1734
2009,Rural,Punjab,Property Crime,Burglary,Female,31-45,9587,2204,7383,6308,3279
2001,Urban,Haryana,Crime Against Children,Child Labor,Female,60+,784,752,32,768,16
2004,Rural,Odisha,Crime Against Women,Molestation,Male,0-12,3177,1432,1745,3141,36
2008,Urban,Bihar,Other Crimes,Fraud,Male,0-12,4111,368,3743,4053,58
2004,Urban,Nagaland,Crime Against Women,Dowry Deaths,Female,31-45,3832,2043,1789,3328,504
2009,Rural,Assam,Property Crime,Arson,Male,31-45,8201,2167,6034,4753,3448
2002,Urban,Madhya Pradesh,Other Crimes,Fraud,Female,31-45,9226,8051,1175,9043,183
2009,Urban,Sikkim,Crime Against Men,Murder,Female,46-60,4522,3023,1499,3458,1064
2003,Urban,Mizoram,Crime Against Children,Child Labor,Male,46-60,1472,1140,332,1304,168
2001,Urban,Arunachal Pradesh,Crime Against Men,Extortion,Male,60+,4884,190,4694,266,4618
2007,Urban,Telangana,Property Crime,Burglary,Male,13-17,9680,5128,4552,9185,495
2003,Urban,Manipur,Crime Against Men,Extortion,Female,18-30,3656,2236,1420,3003,653
2003,Urban,Punjab,Crime Against Children,Trafficking,Male,46-60,9064,6211,2853,8543,521
2008,Rural,Jharkhand,Crime Against Women,Domestic Violence,Male,60+,1590,132,1458,1194,396
2009,Rural,Rajasthan,Crime Against Men,Extortion,Male,13-17,7702,2736,4966,3391,4311
2004,Urban,Uttarakhand,Property Crime,Burglary,Female,13-17,4130,1410,2720,3883,247
2002,Rural,Tripura,Crime Against Children,Kidnapping,Male,46-60,4691,477,4214,2288,2403
2006,Urban,Gujarat,Crime Against Children,Trafficking,Male,60+,4805,1509,3296,4691,114
2002,Rural,Arunachal Pradesh,Crime Against Men,Assault,Male,0-12,9876,5257,4619,6508,3368
2002,Rural,Mizoram,Crime Against Women,Molestation,Female,60+,9943,7268,2675,8987,956
2001,Urban,Uttar Pradesh,Property Crime,Burglary,Female,31-45,2645,722,1923,1744,901
2002,Rural,Jharkhand,Crime Against Children,Child Labor,Female,60+,5178,2888,2290,3473,1705
2004,Rural,Assam,Property Crime,Vandalism,Male,18-30,5491,3605,1886,4298,1193
2006,Rural,West Bengal,Other Crimes,Corruption,Male,0-12,9857,2680,7177,9674,183
2010,Rural,Assam,Crime Against Children,Child Abuse,Female,13-17,5525,527,4998,3107,2418
2005,Rural,Jammu & Kashmir,Crime Against Children,Trafficking,Female,13-17,8791,5814,2977,8563,228
2002,Rural,Mizoram,Crime Against Women,Dowry Deaths,Male,18-30,6641,3511,3130,5749,892
2003,Urban,Chhattisgarh,Crime Against Women,Molestation,Female,46-60,6401,722,5679,5131,1270
2003,Urban,Andhra Pradesh,Property Crime,Burglary,Female,60+,4419,791,3628,4293,126
2002,Rural,Assam,Crime Against Men,Robbery,Male,18-30,4645,4346,299,4401,244
2009,Rural,Tripura,Crime Against Men,Robbery,Female,18-30,3328,1246,2082,2834,494
2008,Rural,Jammu & Kashmir,Crime Against Women,Domestic Violence,Female,13-17,2994,2765,229,2981,13
2006,Rural,Goa,Other Crimes,Cyber Crime,Male,0-12,7229,2385,4844,6594,635
2001,Rural,Kerala,Other Crimes,Fraud,Female,31-45,3509,2746,763,3442,67
2006,Urban,Bihar,Crime Against Women,Rape,Male,0-12,735,699,36,716,19
2009,Rural,Punjab,Property Crime,Vandalism,Female,31-45,9504,6612,2892,9185,319
2005,Rural,Tamil Nadu,Property Crime,Burglary,Female,60+,6010,412,5598,4033,1977
2010,Urban,Mizoram,Crime Against Women,Dowry Deaths,Male,31-45,6349,776,5573,6173,176
2002,Urban,Jammu & Kashmir,Property Crime,Burglary,Male,46-60,3022,1007,2015,2431,591
2003,Rural,Rajasthan,Property Crime,Vandalism,Female,46-60,1488,454,1034,471,1017
2004,Urban,Himachal Pradesh,Crime Against Women,Domestic Violence,Female,13-17,3226,582,2644,2061,1165
2009,Urban,Himachal Pradesh,Crime Against Children,Kidnapping,Male,18-30,3230,2611,619,3078,152
2002,Rural,Karnataka,Property Crime,Arson,Female,60+,7066,2913,4153,5214,1852
2001,Rural,Gujarat,Other Crimes,Corruption,Male,60+,7096,6739,357,6871,225
2002,Urban,Nagaland,Other Crimes,Fraud,Male,0-12,4044,356,3688,3134,910
2006,Rural,Jammu & Kashmir,Property Crime,Vandalism,Male,31-45,4043,895,3148,3830,213
2006,Urban,Manipur,Property Crime,Burglary,Male,60+,218,51,167,114,104
2005,Rural,Tamil Nadu,Crime Against Women,Molestation,Female,46-60,7043,3593,3450,4200,2843
2004,Rural,Mizoram,Property Crime,Theft,Female,18-30,4877,1109,3768,2602,2275
2001,Rural,Karnataka,Other Crimes,Drug Offense,Female,60+,4923,2989,1934,3859,1064
2006,Urban,Karnataka,Crime Against Children,Kidnapping,Male,13-17,4507,1946,2561,3870,637
2002,Rural,Tripura,Property Crime,Vandalism,Male,31-45,1792,1548,244,1625,167
2005,Rural,Rajasthan,Other Crimes,Corruption,Female,31-45,2990,2035,955,2700,290
2006,Urban,Telangana,Crime Against Men,Robbery,Male,13-17,1410,247,1163,835,575
2002,Rural,Jammu & Kashmir,Other Crimes,Fraud,Male,0-12,7047,6307,740,6790,257
2008,Rural,Jammu & Kashmir,Crime Against Children,Child Abuse,Male,60+,2180,681,1499,1538,642
2010,Urban,Bihar,Property Crime,Theft,Female,31-45,9652,7729,1923,9200,452
2001,Urban,Telangana,Property Crime,Arson,Male,31-45,114,22,92,31,83
2008,Rural,Tripura,Other Crimes,Drug Offense,Female,31-45,5102,5022,80,5065,37
2001,Urban,Tamil Nadu,Crime Against Men,Assault,Female,0-12,6099,4910,1189,5250,849
2007,Urban,Tripura,Other Crimes,Fraud,Male,13-17,8062,2206,5856,7459,603
2008,Urban,Manipur,Property Crime,Theft,Female,18-30,2134,58,2076,1740,394
2001,Rural,Chhattisgarh,Crime Against Men,Robbery,Female,18-30,5980,1491,4489,5065,915
2010,Rural,Meghalaya,Crime Against Men,Extortion,Male,46-60,6952,894,6058,3532,3420
2008,Urban,Meghalaya,Crime Against Children,Child Abuse,Male,18-30,1674,1090,584,1630,44
2003,Urban,Uttar Pradesh,Crime Against Women,Dowry Deaths,Female,60+,4778,4309,469,4319,459
2010,Urban,Kerala,Crime Against Women,Domestic Violence,Male,31-45,3499,3046,453,3239,260
2008,Urban,West Bengal,Crime Against Men,Robbery,Female,31-45,3059,2915,144,3052,7
2002,Rural,Delhi,Property Crime,Arson,Female,18-30,3287,1506,1781,2028,1259
2008,Rural,Delhi,Other Crimes,Drug Offense,Female,46-60,5874,5738,136,5749,125
2008,Rural,Gujarat,Property Crime,Burglary,Female,0-12,2534,1587,947,1886,648
2005,Urban,Karnataka,Crime Against Children,Kidnapping,Female,46-60,628,564,64,577,51
2008,Rural,Nagaland,Crime Against Women,Dowry Deaths,Female,18-30,8341,4691,3650,5366,2975
2009,Rural,Chhattisgarh,Crime Against Women,Molestation,Female,46-60,4000,1899,2101,3519,481
2005,Rural,Delhi,Crime Against Children,Child Abuse,Female,31-45,7101,1808,5293,4058,3043
2001,Rural,Haryana,Crime Against Children,Trafficking,Male,13-17,9440,9157,283,9340,100
2006,Rural,Jharkhand,Crime Against Women,Domestic Violence,Male,31-45,1658,600,1058,1335,323
2010,Urban,Sikkim,Property Crime,Vandalism,Male,31-45,8445,8303,142,8370,75
2010,Rural,West Bengal,Property Crime,Burglary,Male,46-60,9696,2311,7385,6407,3289
2005,Rural,Arunachal Pradesh,Other Crimes,Fraud,Female,18-30,2231,2081,150,2145,86
2001,Urban,Jharkhand,Crime Against Children,Kidnapping,Female,31-45,4821,4618,203,4802,19
2007,Rural,Gujarat,Crime Against Men,Murder,Male,13-17,1276,664,612,803,473
2009,Rural,Odisha,Property Crime,Vandalism,Male,60+,1274,921,353,954,320
2007,Urban,Odisha,Property Crime,Arson,Female,18-30,2265,1500,765,1917,348
2003,Rural,Mizoram,Property Crime,Arson,Male,0-12,9707,3362,6345,4556,5151
2005,Rural,Haryana,Crime Against Men,Murder,Female,60+,319,229,90,284,35
2010,Urban,Jammu & Kashmir,Crime Against Men,Robbery,Male,13-17,8024,4897,3127,6622,1402
2001,Rural,Assam,Crime Against Women,Domestic Violence,Female,46-60,7811,4879,2932,7030,781
2010,Urban,Tamil Nadu,Crime Against Women,Domestic Violence,Male,31-45,3294,1601,1693,1822,1472
2005,Rural,Karnataka,Crime Against Children,Child Labor,Female,18-30,3434,100,3334,1337,2097
2003,Urban,Himachal Pradesh,Crime Against Men,Robbery,Female,46-60,4989,152,4837,177,4812
2009,Rural,Maharashtra,Property Crime,Burglary,Male,13-17,1350,975,375,1061,289
2008,Rural,Andhra Pradesh,Other Crimes,Cyber Crime,Male,46-60,3434,2262,1172,3213,221
2005,Rural,Goa,Other Crimes,Drug Offense,Male,13-17,8775,71,8704,933,7842
2010,Urban,Rajasthan,Property Crime,Theft,Male,0-12,9411,7498,1913,7944,1467
2003,Urban,Tamil Nadu,Other Crimes,Corruption,Male,0-12,1608,1087,521,1272,336
2003,Urban,Delhi,Crime Against Women,Rape,Male,0-12,3807,3250,557,3616,191
2004,Urban,Nagaland,Crime Against Men,Robbery,Male,13-17,1075,759,316,1055,20
2001,Urban,Tripura,Crime Against Children,Child Labor,Female,0-12,5448,334,5114,4551,897
2005,Urban,Tamil Nadu,Crime Against Women,Dowry Deaths,Female,13-17,6988,5880,1108,6805,183
2004,Urban,Sikkim,Property Crime,Burglary,Male,46-60,1855,375,1480,1224,631
2009,Rural,Tripura,Crime Against Men,Extortion,Male,46-60,2706,444,2262,2697,9
2007,Rural,Delhi,Crime Against Women,Dowry Deaths,Female,13-17,2005,491,1514,1117,888
2010,Rural,Goa,Crime Against Men,Robbery,Male,31-45,2017,1727,290,1842,175
2005,Urban,Uttar Pradesh,Crime Against Men,Murder,Male,18-30,112,61,51,99,13
2003,Rural,Rajasthan,Crime Against Women,Rape,Female,60+,7418,4598,2820,5944,1474
2003,Urban,Nagaland,Crime Against Women,Dowry Deaths,Female,31-45,5660,4444,1216,4830,830
2009,Urban,Meghalaya,Crime Against Men,Robbery,Male,46-60,5301,4,5297,2747,2554
